,FR-CRC,AT-CRC,CN-CRC,US-CRC,DE-CRC
CCIS63468405ST-4-0,0.28085429338510276,0.4117146618488355,0.6027338231969024,0.5034290530630017,0.4933407797964231
CCIS63910149ST-4-0,0.0534501993799653,0.40119195854641737,0.5995991189364609,0.49918542144887873,0.4972854088563291
CCIS64773582ST-4-0,0.21006529758923476,0.40116497566937026,0.5993317995463903,0.4973476521899058,0.4976605091728551
CCIS64785924ST-20-0,0.06996383127558972,0.4030039567853411,0.6014301645304936,0.5015290523251977,0.5000579167637778
CCIS65479369ST-4-0,0.9491434392433996,0.4191903353023147,0.6150362959405163,0.49948727845650764,0.5012556909917223
CCIS71301801ST-4-0,0.6332136487281639,0.40323053245081075,0.6065652647577126,0.5020417198926326,0.5012369767725883
CCIS71578391ST-4-0,0.09268572921658322,0.40014458388652796,0.6014650036111986,0.5011326984969685,0.4993989664932619
CCIS72607085ST-4-0,0.4606536432009197,0.40367409752822325,0.6029118192079639,0.5006156689123751,0.5043379558548343
CCIS74239020ST-4-0,0.0524961355676213,0.40037223910790637,0.5999371020560368,0.5012838431712738,0.49959679292164677
CCIS76845094ST-20-0,0.8811830233031509,0.4040854668955751,0.6002069102975081,0.5003874514258675,0.4999417045333822
CCIS77252613ST-4-0,0.12453006008745901,0.40665810458780743,0.6034986586131197,0.5029995106399645,0.4993685669518633
CCIS78100604ST-4-0,0.07026327976994437,0.4024233107937505,0.5989885601464641,0.4994275406661328,0.50639206419682
CCIS78318719ST-4-0,0.9915318693857784,0.4013902852953115,0.6045323581488693,0.5016076470619557,0.5007003576301737
CCIS79210440ST-3-0,0.6494812525967744,0.4099226657061124,0.6026326937628306,0.5021391070558587,0.5010754152854855
CCIS80834637ST-4-0,0.10747450949997028,0.39987840260488405,0.6024082920934275,0.5001420043136992,0.49401730748273326
CCIS81139242ST-4-0,0.04061126348071361,0.39852722416888453,0.5979545614396725,0.49988249315956285,0.5014466468110785
CCIS81887263ST-4-0,0.31195974160522943,0.40289296615923625,0.6005206119808274,0.5009101056965689,0.4999391813604221
CCIS82146115ST-4-0,0.024208011000640742,0.39806867642613636,0.6032300508145192,0.4948540002202428,0.49332336445512215
CCIS82507866ST-3-0,0.12637162418391723,0.40035006296949754,0.5983386019572366,0.4997823566449979,0.4999328336813581
CCIS82944710ST-20-0,0.31687773628665256,0.40322569815127335,0.6047854520532572,0.5035145582069968,0.5003657262232577
CCIS83870198ST-4-0,0.13083972279837958,0.4013443591776674,0.6012962157657761,0.4994244700532264,0.4973433884885586
CCIS84543192ST-4-0,0.1513018478786307,0.40716131517912085,0.6028394463645661,0.499387609905273,0.4892022729728884
CCIS85214191ST-3-0,0.6610666054813701,0.40446498565129374,0.6082532202032036,0.5002813550022632,0.5143861930544087
CCIS87116798ST-4-0,0.49041794526431054,0.4048386145557958,0.605236586179841,0.5004846780888556,0.5003386767547978
CCIS87167916ST-4-0,0.9715474084810216,0.4048112215675553,0.6046000216368247,0.5020628018351996,0.5042494974117219
CCIS87252800ST-4-0,0.9601600438990404,0.40327964881181466,0.6067078084025094,0.5044886305567119,0.5019146854913512
CCIS87605453ST-4-0,0.4516600250702208,0.40157002387099733,0.6090310475800349,0.4997293812197815,0.5003603991527803
CCIS88007743ST-4-0,0.4869043387585978,0.40620566858476076,0.601734828574679,0.5030313455948899,0.5001739203870614
